1	1.00
1.0001	1.00
1.0002	1.00
1.0003	1.00
1.0004	1.00
1.0005	1.00
1.0006	1.00
1.0007	1.00
1.0008	1.00
1.0009	1.00
1.001	1.00
1.0011	1.00
1.0012	1.00
1.0013	1.00
1.0014	1.00
1.0015	1.00
1.0016	1.00
1.0017	1.00
1.0018	1.00
1.0019	1.00
1.002	1.00
1.0021	1.00
1.0022	1.00
1.0023	1.00
1.0024	1.00
1.0025	1.00
1.0026	1.00
1.0027	1.00
1.0028	1.00
1.0029	1.00
1.003	1.00
1.0031	1.00
1.0032	1.00
1.0033	1.00
1.0034	1.00
1.0035	1.00
1.0036	1.00
1.0037	1.00
1.0038	1.00
1.0039	1.00
1.004	1.00
1.0041	1.00
1.0042	1.00
1.0043	1.00
1.0044	1.00
1.0045	1.00
1.0046	1.00
1.0047	1.00
1.0048	1.00
1.0049	1.00
1.005	1.00
1.0051	1.00
1.0052	1.00
1.0053	1.00
1.0054	1.00
1.0055	1.00
1.0056	1.00
1.0057	1.00
1.0058	1.00
1.0059	1.00
1.006	1.00
1.0061	1.00
1.0062	1.00
1.0063	1.00
1.0064	1.00
1.0065	1.00
1.0066	1.00
1.0067	1.00
1.0068	1.00
1.0069	1.00
1.007	1.00
1.0071	1.00
1.0072	1.00
1.0073	1.00
1.0074	1.00
1.0075	1.00
1.0076	1.00
1.0077	1.00
1.0078	1.00
1.0079	1.00
1.008	1.00
1.0081	1.00
1.0082	1.00
1.0083	1.00
1.0084	1.00
1.0085	1.00
1.0086	1.00
1.0087	1.00
1.0088	1.00
1.0089	1.00
1.009	1.00
1.0091	1.00
1.0092	1.00
1.0093	1.00
1.0094	1.00
1.0095	1.00
1.0096	1.00
1.0097	1.00
1.0098	1.00
1.0099	1.00
1.01	1.00
1.0101	1.00
1.0102	1.00
1.0103	1.00
1.0104	1.00
1.0105	1.00
1.0106	1.00
1.0107	1.00
1.0108	1.00
1.0109	1.00
1.011	1.00
1.0111	1.00
1.0112	0.99
1.0113	0.99
1.0114	0.99
1.0115	0.99
1.0116	0.99
1.0117	0.99
1.0118	0.99
1.0119	0.99
1.012	0.99
1.0121	0.99
1.0122	0.99
1.0123	0.99
1.0124	0.99
1.0125	0.99
1.0126	0.99
1.0127	0.99
1.0128	0.99
1.0129	0.99
1.013	0.99
1.0131	0.99
1.0132	0.99
1.0133	0.99
1.0134	0.99
1.0135	0.99
1.0136	0.99
1.0137	0.99
1.0138	0.99
1.0139	0.99
1.014	0.99
1.0141	0.99
1.0142	0.99
1.0143	0.99
1.0144	0.99
1.0145	0.99
1.0146	0.99
1.0147	0.99
1.0148	0.99
1.0149	0.99
